datetime,open,high,low,close,volume
2025-04-23 08:00:00,536.79,537.0,536.5,536.99,10990.0
2025-04-23 08:01:00,536.97,537.02,536.89,536.89,3125.0
2025-04-23 08:02:00,536.94,536.96,536.9,536.9,1381.0
2025-04-23 08:03:00,536.95,537.12,536.95,537.12,2099.0
2025-04-23 08:04:00,536.87,536.87,536.87,536.87,1117.0
2025-04-23 08:05:00,537.02,537.02,536.98,536.98,644.0
2025-04-23 08:06:00,536.97,536.97,536.87,536.96,2773.0
2025-04-23 08:07:00,537.02,537.02,536.97,536.99,1832.0
2025-04-23 08:08:00,537.1,537.1,536.97,536.97,1749.0
2025-04-23 08:09:00,537.0,537.0,537.0,537.0,1472.0
2025-04-23 08:10:00,537.0,537.11,537.0,537.11,9878.0
2025-04-23 08:12:00,537.2,537.23,537.19,537.23,883.0
2025-04-23 08:13:00,537.29,537.34,537.29,537.34,1933.0
2025-04-23 08:14:00,537.42,537.56,537.42,537.56,1102.0
2025-04-23 08:15:00,537.63,537.65,537.5,537.5,2997.0
2025-04-23 08:16:00,537.51,537.51,537.48,537.51,1088.0
2025-04-23 08:17:00,537.63,537.65,537.61,537.61,2369.0
2025-04-23 08:18:00,537.6,537.6,537.53,537.55,7537.0
2025-04-23 08:19:00,537.57,537.57,537.57,537.57,762.0
2025-04-23 08:20:00,537.5,537.53,537.47,537.53,7256.0
2025-04-23 08:21:00,537.56,537.59,537.5,537.59,7204.0
2025-04-23 08:22:00,537.5,537.6,537.45,537.46,8658.0
2025-04-23 08:23:00,537.41,537.5,537.41,537.5,1332.0
2025-04-23 08:24:00,537.5,537.5,537.44,537.44,3286.0
2025-04-23 08:25:00,537.48,537.55,537.41,537.55,3874.0
2025-04-23 08:26:00,537.55,537.55,537.49,537.51,885.0
2025-04-23 08:27:00,537.47,537.47,537.46,537.46,712.0
2025-04-23 08:29:00,537.46,537.6,537.46,537.5,1554.0
2025-04-23 08:30:00,537.54,537.54,537.54,537.54,335.0
2025-04-23 08:31:00,537.5,537.5,537.5,537.5,452.0
